time,sample_weight,e_superba_weight,e_superba_count,t_macrura_weight,t_macrura_count
1/02/1996,237,601,314,0,0
6/02/1996,191,190,278,0,0
6/02/1996,245,241,448,0,0
6/02/1996,130,130,159,0,0
6/02/1996,258,248,810,0,0
6/02/1996,141,141,371,0,0
11/02/1996,150,300,342,0,0
11/02/1996,232,356,576,0,0
11/02/1996,166,161,540,0,0
11/02/1996,154,140,190,2,24
11/02/1996,152,297,395,0,0
17/02/1996,142,227,336,0,0
17/02/1996,209,22,12,388,3860
17/02/1996,162,120,214,27,540
17/02/1996,287,427,411,0,0
17/02/1996,366,366,610,0,0
6/01/1997,109,109,509,0,0
6/01/1997,144,399,669,0,0
6/01/1997,193,193,660,0,0
6/01/1997,198,468,737,0,0
6/01/1997,124,324,653,0,0
11/01/1997,160,160,475,1,12
11/01/1997,145,205,495,0,0
11/01/1997,203,297,783,1,12
11/01/1997,182,292,480,0,0
11/01/1997,157,405,758,1,12
16/01/1997,265,380,966,0,0
16/01/1997,187,367,655,0,0
16/01/1997,180,180,643,0,0
16/01/1997,235,400,552,0,0
16/01/1997,307,562,876,0,0
21/01/1997,283,583,1184,0,0
21/01/1997,87,87,423,0,0
21/01/1997,212,362,534,0,0
21/01/1997,167,277,705,0,0
21/01/1997,321,411,988,0,0
26/01/1997,270,270,855,0,0
26/01/1997,202,450,757,0,0
26/01/1997,275,400,670,225,2700
26/01/1997,320,400,852,245,2940
26/01/1997,214,354,1095,0,0
31/01/1997,199,669,730,0,0
31/01/1997,235,695,847,0,0
31/01/1997,185,235,672,0,0
31/01/1997,376,476,1547,0,0
31/01/1997,136,286,335,0,0
5/02/1997,273,698,1330,0,0
5/02/1997,129,194,282,0,0
5/02/1997,249,457,863,0,0
5/02/1997,260,530,660,0,0
5/02/1997,323,502,607,0,0
10/02/1997,317,697,704,0,0
10/02/1997,202,462,808,0,0
10/02/1997,221,351,654,0,0
10/02/1997,271,271,892,0,0
10/02/1997,216,626,816,0,0
15/02/1997,320,420,1341,0,0
15/02/1997,246,346,666,0,0
15/02/1997,135,145,464,0,0
15/02/1997,146,271,504,0,0
15/02/1997,275,374,921,0,0
6/01/1998,142,177,525,0,0
6/01/1998,174,289,568,0,0
6/01/1998,163,243,720,0,0
6/01/1998,142,177,828,0,0
6/01/1998,187,232,1201,0,0
11/01/1998,439,434,1598,60,720
11/01/1998,192,422,658,0,0
11/01/1998,109,158,402,16,192
11/01/1998,230,305,829,0,0
11/01/1998,137,116,505,20,240
16/01/1998,103,103,511,0,0
16/01/1998,134,444,433,0,0
16/01/1998,110,110,448,0,0
16/01/1998,280,385,1444,0,0
16/01/1998,232,232,899,0,0
21/01/1998,240,420,707,0,0
21/01/1998,202,522,673,0,0
21/01/1998,235,455,673,0,0
21/01/1998,265,485,964,0,0
21/01/1998,200,550,722,0,0
26/01/1998,195,365,498,0,0
26/01/1998,187,437,907,0,0
26/01/1998,238,238,849,0,0
26/01/1998,142,342,455,0,0
26/01/1998,275,305,1372,0,0
31/01/1998,153,278,464,0,0
31/01/1998,182,342,609,0,0
31/01/1998,221,220,684,0,0
31/01/1998,164,289,481,0,0
31/01/1998,222,546,610,0,0
5/02/1998,286,441,868,0,0
5/02/1998,196,306,567,0,0
5/02/1998,249,503,686,0,0
5/02/1998,330,390,1143,0,0
5/02/1998,176,205,585,0,0
10/02/1998,180,340,401,0,0
10/02/1998,272,448,693,99,1188
10/02/1998,196,193,282,128,1536
