time,sample_weight,e_superba_weight,e_superba_count,t_macrura_weight,t_macrura_count
25/01/2016,140.2,139.2,220,0,0
25/01/2016,138.82,137.82,208,0,0
25/01/2016,145.11,52.77,65,91.34,2421
25/01/2016,174.38,167.56,206,4.82,155
5/01/2017,69.76,68.76,146,0,0
5/01/2017,202.9,202.9,340,0,0
5/01/2017,113.86,113.86,232,0,0
5/01/2017,167,166,815,0,0
5/01/2017,309.6,308.6,571,0,0
10/01/2017,227.12,227.12,343,0,0
10/01/2017,178.26,178.26,424,0,0
10/01/2017,177,177,290,0,0
10/01/2017,137.2,136.2,192,0,0
10/01/2017,90,89,169,0,0
15/01/2017,211.95,211.95,421,0,0
15/01/2017,252.05,162.4,280,88.65,709
15/01/2017,185.43,46.72,95,138.71,1110
15/01/2017,56.27,56.27,67,0,0
15/01/2017,174.85,166.65,288,0,0
22/01/2017,166.58,165.58,232,0,0
22/01/2017,158.78,158.78,253,0,0
22/01/2017,89,82,137,0,0
22/01/2017,128.88,128.88,190,0,0
22/01/2017,49.86,11.59,77,0,0
3/01/2018,205.9,204.9,439,0,0
3/01/2018,166.3,166.3,462,0,0
3/01/2018,239.9,239.9,429,0,0
3/01/2018,149.5,149.5,563,0,0
3/01/2018,188.6,187.6,517,0,0
8/01/2018,154.36,154.36,436,0,0
8/01/2018,365.32,365.32,659,0,0
8/01/2018,114.16,114.16,311,0,0
8/01/2018,156.4,156.4,728,0,0
8/01/2018,115.1,115.1,519,0,0
15/01/2018,463.93,463.93,1122,0,0
15/01/2018,143.5,143.5,387,0,0
15/01/2018,129.7,129.7,631,0,0
15/01/2018,228.7,228.2,755,0,0
15/01/2018,213.54,213.54,535,0,0
23/01/2018,169.3,169.3,409,0,0
23/01/2018,227.62,226.62,471,0,0
23/01/2018,189.06,189.06,553,0,0
23/01/2018,251.6,251.6,881,0,0
23/01/2018,168.93,167.93,450,0,0
29/01/2018,104.33,104.33,497,0,0
29/01/2018,110.97,110.97,282,0,0
29/01/2018,72.3,70.2,245,0,0
29/01/2018,296.5,295.5,881,0,0
29/01/2018,187.2,186.2,556,0,0
