time,prey_type,num_fish,evidence_size,evidence_weight,estimated_fish_length,estimated_fish_weight
7/01/2011,FISH,2,0,1,0,0
7/01/2011,FISH,2,0,1,0,0
7/01/2011,FISH,0,0,0,0,0
15/01/2011,FISH,1,0,1,0,0
27/01/2011,FISH,2,0,1,0,0
27/01/2011,FISH,0,0,0,0,0
8/01/2012,FISH,2,0,1,0,0
8/01/2012,FISH,2,0,1,0,0
19/01/2012,FISH,1,0,1,0,0
26/01/2012,FISH,1,0,1,0,0
26/01/2012,FISH,1,0,1,0,0
26/01/2012,FISH,2,0,1,0,0
9/01/2013,FISH,1,0,1,0,0
16/01/2013,FISH,1,0,1,0,0
16/01/2013,FISH,1,0,1,0,0
23/01/2013,FISH,14,0,1,0,0
28/01/2013,FISH,1,0,1,0,0
28/01/2013,FISH,1,0,1,0,0
16/01/2014,FISH,7,0,1,0,0
16/01/2014,FISH,3,0,1,0,0
22/01/2014,FISH,2,0,1,0,0
22/01/2014,FISH,7,0,1,0,0
22/01/2014,FISH,2,0,1,0,0
1/02/2014,FISH,4,0,1,0,0
11/01/2015,FISH,2,0,1,0,0
26/01/2015,FISH,40,0,1,0,0
3/02/2015,FISH,10,0,1,0,0
3/02/2015,FISH,13,0,1,0,0
3/02/2015,FISH,3,0,1,0,0
6/01/2016,FISH,1,0,1,0,0
6/01/2016,FISH,2,0,1,0,0
12/01/2016,FISH,1,0,2,0,0
12/01/2016,FISH,1,0,1,0,0
12/01/2016,FISH,1,0,1,0,0
18/01/2016,FISH,2,0,1,0,0
18/01/2016,FISH,1,0,1,0,0
18/01/2016,FISH,2,0,4,0,0
18/01/2016,FISH,1,0,1,0,0
25/01/2016,FISH,18,0,2,0,0
25/01/2016,FISH,3,0,1,0,0
25/01/2016,FISH,1,0,1,0,0
25/01/2016,FISH,1,0,1,0,0
25/01/2016,FISH,2,0,1,0,0
5/01/2017,FISH,3,0,1,0,0
5/01/2017,FISH,1,0,1,0,0
5/01/2017,FISH,1,0,1,0,0
10/01/2017,FISH,1,0,1,0,0
10/01/2017,FISH,1,0,1,0,0
15/01/2017,FISH,1,0,7,0,0
22/01/2017,FISH,1,0,1,0,0
22/01/2017,FISH,2,0,7,0,0
3/01/2018,FISH,1,0,1,0,0
23/01/2018,FISH,1,0,1,0,0
23/01/2018,FISH,1,0,1,0,0
29/01/2018,FISH,1,0,2,0,0
29/01/2018,FISH,1,0,1,0,0
29/01/2018,FISH,1,0,1,0,0
