study_name,time,sample_number,total_krill_abundance,krill_abundance_16mm_to_20mm,krill_abundance_21mm_to_25mm,krill_abundance_26mm_to_30mm,krill_abundance_31mm_to_35mm,krill_abundance_36mm_to_40mm,krill_abundance_41mm_to_45mm,krill_abundance_46mm_to_50mm,krill_abundance_51mm_to_55mm,krill_abundance_56mm_to_60mm,krill_abundance_61mm_to_65mm
PAL9293,1993-02-04T00:00:00Z,26489,50,0,0,0,4,21,18,7,0,0,0
PAL9293,1993-02-09T00:00:00Z,26490,54,0,0,3,11,23,17,0,0,0,0
PAL9293,1993-02-09T00:00:00Z,26491,52,0,0,0,8,22,16,4,2,0,0
PAL9293,1993-02-09T00:00:00Z,26492,54,0,0,0,7,17,17,12,1,0,0
PAL9293,1993-02-09T00:00:00Z,26493,50,0,0,0,15,23,10,2,0,0,0
PAL9293,1993-02-09T00:00:00Z,26494,50,0,0,1,3,19,16,8,3,0,0
PAL9293,1993-02-14T00:00:00Z,26495,50,0,0,0,2,15,16,17,0,0,0
PAL9293,1993-02-14T00:00:00Z,26496,48,0,0,0,9,19,18,1,1,0,0
PAL9293,1993-02-14T00:00:00Z,26497,54,0,0,0,7,25,20,2,0,0,0
PAL9293,1993-02-14T00:00:00Z,26498,48,0,0,1,13,15,13,4,2,0,0
PAL9293,1993-02-14T00:00:00Z,26499,61,0,0,0,7,14,30,10,0,0,0
PAL9293,1993-02-19T00:00:00Z,26500,50,0,0,0,4,10,31,5,0,0,0
PAL9293,1993-02-19T00:00:00Z,26501,50,0,0,1,4,21,18,5,1,0,0
PAL9293,1993-02-19T00:00:00Z,26502,53,0,0,0,2,11,30,9,1,0,0
PAL9293,1993-02-19T00:00:00Z,26503,50,0,0,0,7,21,15,5,2,0,0
PAL9293,1993-02-19T00:00:00Z,26504,78,0,0,0,1,18,26,30,3,0,0
PAL9394,1994-01-11T00:00:00Z,27465,54,0,0,0,2,8,29,13,2,0,0
PAL9394,1994-01-11T00:00:00Z,27466,50,0,0,0,1,21,23,5,0,0,0
PAL9394,1994-01-11T00:00:00Z,27467,62,0,0,3,11,29,12,5,2,0,0
PAL9394,1994-01-11T00:00:00Z,27468,54,0,0,0,5,24,25,0,0,0,0
PAL9394,1994-01-11T00:00:00Z,27469,65,0,0,0,4,29,30,2,0,0,0
PAL9394,1994-01-16T00:00:00Z,27470,54,0,0,2,7,24,18,3,0,0,0
PAL9394,1994-01-16T00:00:00Z,27471,50,0,0,0,1,6,27,12,4,0,0
PAL9394,1994-01-16T00:00:00Z,27472,53,0,0,1,6,28,18,0,0,0,0
PAL9394,1994-01-16T00:00:00Z,27473,50,0,0,1,2,24,20,1,2,0,0
PAL9394,1994-01-16T00:00:00Z,27474,58,0,0,0,1,10,32,14,1,0,0
PAL9394,1994-01-21T00:00:00Z,27475,58,0,0,0,2,15,29,11,1,0,0
PAL9394,1994-01-21T00:00:00Z,27476,63,0,0,0,3,17,28,13,2,0,0
PAL9394,1994-01-21T00:00:00Z,27477,51,0,0,0,1,11,26,12,1,0,0
PAL9394,1994-01-21T00:00:00Z,27478,51,0,0,1,2,15,23,8,2,0,0
