study_name,time,island_name,colony_code,sample_number,organism_weight,sex,dorsal_ridge_length,dorsal_ridge_depth
,UTC,,,,gram,,mm,mm
PAL9192,1992-02-14T18:00:00Z,TOR,12,91034.0,4350.0,U,34.8,17.7
PAL9192,1992-02-14T18:00:00Z,TOR,12,91035.0,4900.0,U,39.5,19.4
PAL9192,1992-02-19T16:30:00Z,TOR,12,91036.0,4050.0,U,41.8,17.4
PAL9192,1992-02-19T16:30:00Z,TOR,12,91037.0,5600.0,U,35.5,16.1
PAL9192,1992-02-19T16:30:00Z,TOR,12,91038.0,4650.0,U,36.2,18.6
PAL9192,1992-02-19T16:30:00Z,TOR,12,91039.0,4700.0,U,38.6,18.2
PAL9192,1992-02-19T16:30:00Z,TOR,12,91040.0,4750.0,U,37.8,17.0
PAL9293,1993-01-11T17:00:00Z,TOR,12,92001.0,4600.0,M,39.5,18.4
PAL9293,1993-01-11T17:00:00Z,TOR,12,92002.0,3950.0,F,33.5,17.6
PAL9293,1993-01-11T17:00:00Z,TOR,12,92003.0,4000.0,M,36.0,17.4
PAL9293,1993-01-11T17:00:00Z,TOR,12,92004.0,4950.0,M,39.3,20.6
PAL9293,1993-01-11T17:00:00Z,TOR,12,92005.0,4000.0,F,35.1,16.2
PAL9293,1993-01-19T17:00:00Z,TOR,12,92006.0,4100.0,F,37.4,17.2
PAL9293,1993-01-19T17:00:00Z,TOR,12,92007.0,5150.0,M,41.4,18.5
PAL9293,1993-01-19T17:00:00Z,TOR,12,92008.0,4750.0,F,38.7,18.1
PAL9293,1993-01-19T17:00:00Z,TOR,12,92009.0,4300.0,F,35.6,17.0
PAL9293,1993-01-19T17:00:00Z,TOR,12,92010.0,4650.0,M,43.7,19.5
PAL9293,1993-01-23T17:30:00Z,TOR,23,92011.0,5200.0,F,34.5,18.5
PAL9293,1993-01-23T17:30:00Z,TOR,23,92012.0,5200.0,M,39.7,19.1
PAL9293,1993-01-23T17:30:00Z,TOR,23,92013.0,4850.0,M,37.8,18.4
PAL9293,1993-01-23T17:30:00Z,TOR,23,92014.0,4900.0,F,36.5,19.9
PAL9293,1993-01-23T17:30:00Z,TOR,23,92015.0,4550.0,M,39.6,17.5
PAL9293,1993-01-30T17:00:00Z,TOR,23,92016.0,4150.0,M,38.0,17.2
PAL9293,1993-01-30T17:00:00Z,TOR,23,92017.0,3950.0,M,40.3,20.5
PAL9293,1993-01-30T17:00:00Z,TOR,23,92018.0,3850.0,F,35.0,15.9
PAL9293,1993-01-30T17:00:00Z,TOR,23,92019.0,4400.0,M,36.5,19.9
PAL9293,1993-01-30T17:00:00Z,TOR,23,92020.0,3500.0,F,39.0,20.0
PAL9293,1993-02-04T17:00:00Z,TOR,23,92021.0,4400.0,F,37.5,17.6
PAL9293,1993-02-04T17:00:00Z,TOR,23,92022.0,4275.0,F,37.0,18.7
PAL9293,1993-02-04T17:00:00Z,TOR,23,92023.0,4600.0,M,37.5,17.0
PAL9293,1993-02-04T17:00:00Z,TOR,23,92024.0,5000.0,M,40.0,19.1
PAL9293,1993-02-04T17:00:00Z,TOR,23,92025.0,4950.0,M,40.1,19.8
PAL9293,1993-02-09T18:00:00Z,TOR,23,92026.0,4750.0,F,36.5,17.7
PAL9293,1993-02-09T18:00:00Z,TOR,23,92027.0,4600.0,F,35.3,16.3
PAL9293,1993-02-09T18:00:00Z,TOR,23,92028.0,4900.0,M,41.7,19.3
PAL9293,1993-02-09T18:00:00Z,TOR,23,92029.0,5200.0,M,40.8,19.5
PAL9293,1993-02-09T18:00:00Z,TOR,23,92030.0,4700.0,F,35.8,18.6
PAL9293,1993-02-14T18:00:00Z,TOR,23,92031.0,4250.0,M,38.9,19.2
PAL9293,1993-02-14T18:00:00Z,TOR,23,92032.0,3500.0,F,33.6,17.9
PAL9293,1993-02-14T18:00:00Z,TOR,23,92033.0,4100.0,F,37.5,18.1
PAL9293,1993-02-14T18:00:00Z,TOR,23,92034.0,4450.0,M,38.7,18.4
PAL9293,1993-02-14T18:00:00Z,TOR,23,92035.0,4300.0,M,38.8,18.6
PAL9293,1993-02-19T18:00:00Z,TOR,23,92036.0,4150.0,F,36.1,18.0
PAL9293,1993-02-19T18:00:00Z,TOR,23,92037.0,4700.0,M,44.7,19.2
PAL9293,1993-02-19T18:00:00Z,TOR,23,92038.0,4950.0,F,36.6,19.0
PAL9293,1993-02-19T18:00:00Z,TOR,23,92039.0,4550.0,F,39.4,16.7
PAL9293,1993-02-19T18:00:00Z,TOR,23,92040.0,4750.0,F,36.6,17.1
PAL9394,1994-01-11T17:00:00Z,TOR,23,93001.0,4950.0,M,39.3,17.7
PAL9394,1994-01-11T17:00:00Z,TOR,23,93002.0,4700.0,M,40.2,18.0
PAL9394,1994-01-11T17:00:00Z,TOR,23,93003.0,5200.0,M,40.9,20.5
PAL9394,1994-01-11T17:00:00Z,TOR,23,93004.0,4450.0,F,38.0,19.0
PAL9394,1994-01-11T17:00:00Z,TOR,23,93005.0,4150.0,F,36.5,17.7
PAL9394,1994-01-16T16:30:00Z,TOR,23,93006.0,4050.0,F,34.4,17.7
PAL9394,1994-01-16T16:30:00Z,TOR,23,93007.0,4400.0,M,35.4,19.5
PAL9394,1994-01-16T16:30:00Z,TOR,23,93008.0,4650.0,M,40.0,21.6
PAL9394,1994-01-16T16:30:00Z,TOR,23,93009.0,4550.0,F,37.5,19.2
PAL9394,1994-01-16T16:30:00Z,TOR,23,93010.0,4800.0,M,41.2,22.2
PAL9394,1994-01-21T17:30:00Z,TOR,23,93011.0,4050.0,F,37.6,17.8
PAL9394,1994-01-21T17:30:00Z,TOR,23,93012.0,4450.0,M,40.4,20.3
PAL9394,1994-01-21T17:30:00Z,TOR,23,93013.0,4500.0,F,36.6,18.6
PAL9394,1994-01-21T17:30:00Z,TOR,23,93014.0,4400.0,F,37.0,16.5
PAL9394,1994-01-21T17:30:00Z,TOR,23,93015.0,4100.0,F,39.5,19.4
PAL9394,1994-01-26T16:30:00Z,TOR,23,93016.0,5200.0,M,39.0,21.5
PAL9394,1994-01-26T16:30:00Z,TOR,23,93017.0,4250.0,F,38.2,22.2
PAL9394,1994-01-26T16:30:00Z,TOR,23,93018.0,5200.0,M,40.9,19.2
PAL9394,1994-01-26T16:30:00Z,TOR,23,93019.0,4450.0,M,40.5,18.4
PAL9394,1994-01-26T16:30:00Z,TOR,23,93020.0,4550.0,F,37.2,16.8
PAL9394,1994-02-01T19:00:00Z,TOR,23,93021.0,4250.0,M,40.8,18.2
PAL9394,1994-02-01T19:00:00Z,TOR,23,93022.0,4400.0,F,37.7,17.6
PAL9394,1994-02-01T19:00:00Z,TOR,23,93023.0,4350.0,F,36.2,19.0
PAL9394,1994-02-01T19:00:00Z,TOR,23,93024.0,4950.0,M,39.5,19.1
PAL9394,1994-02-01T19:00:00Z,TOR,23,93025.0,4400.0,M,40.0,22.0
PAL9394,1994-02-07T16:30:00Z,TOR,23,93026.0,3700.0,F,37.7,18.5
PAL9394,1994-02-07T16:30:00Z,TOR,23,93027.0,4150.0,F,38.3,17.5
PAL9394,1994-02-07T16:30:00Z,TOR,23,93028.0,4500.0,M,39.1,19.2
PAL9394,1994-02-07T16:30:00Z,TOR,23,93029.0,4150.0,F,37.6,17.4
PAL9394,1994-02-07T16:30:00Z,TOR,23,93030.0,4450.0,F,36.6,18.5
PAL9394,1994-02-13T16:30:00Z,TOR,23,93031.0,3950.0,F,37.0,16.1
PAL9394,1994-02-13T16:30:00Z,TOR,23,93032.0,4250.0,M,39.9,19.2
PAL9394,1994-02-13T16:30:00Z,TOR,23,93033.0,3900.0,F,36.5,18.0
PAL9394,1994-02-13T16:30:00Z,TOR,23,93034.0,4250.0,M,38.3,20.4
PAL9394,1994-02-13T16:30:00Z,TOR,23,93035.0,4450.0,M,41.7,20.1
PAL9394,1994-02-18T18:30:00Z,TOR,23,93036.0,3650.0,F,34.4,17.0
PAL9394,1994-02-18T18:30:00Z,TOR,23,93037.0,4400.0,F,38.0,18.2
PAL9394,1994-02-18T18:30:00Z,TOR,23,93038.0,4350.0,M,39.1,18.3
PAL9394,1994-02-18T18:30:00Z,TOR,23,93039.0,5300.0,M,39.4,19.2
PAL9394,1994-02-18T18:30:00Z,TOR,23,93040.0,0.0,F,37.0,18.5
PAL9495,1995-01-11T16:30:00Z,TOR,23,94001.0,4100.0,F,37.6,16.4
