study_name,date,total_krill,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm
PAL0708,11/01/2008,50,0,1,0,9,26,12,1,1,0,0
PAL0708,11/01/2008,53,0,1,4,25,21,1,1,0,0,0
PAL0708,18/01/2008,50,0,2,2,24,19,3,0,0,0,0
PAL0708,18/01/2008,44,0,0,0,4,6,11,15,8,0,0
PAL0708,18/01/2008,50,0,3,0,12,33,2,0,0,0,0
PAL0708,18/01/2008,51,0,1,4,22,20,4,0,0,0,0
PAL0708,18/01/2008,44,0,0,1,3,16,16,6,1,0,1
PAL0708,27/01/2008,52,0,10,10,9,12,8,3,0,0,0
PAL0708,27/01/2008,50,0,1,3,1,12,26,6,1,0,0
PAL0708,27/01/2008,50,0,2,1,8,25,9,3,2,0,0
PAL0708,27/01/2008,51,0,0,2,8,20,13,7,1,0,0
PAL0708,27/01/2008,50,0,3,0,7,20,15,2,1,2,0
PAL0708,2/02/2008,50,0,2,12,11,13,11,1,0,0,0
PAL0708,2/02/2008,50,0,2,9,6,24,8,1,0,0,0
PAL0708,2/02/2008,51,0,0,9,10,22,10,0,0,0,0
PAL0708,2/02/2008,50,0,0,1,4,19,20,6,0,0,0
PAL0708,2/02/2008,58,1,4,9,5,20,14,5,0,0,0
PAL0809,7/01/2009,50,0,0,6,20,18,4,1,1,0,0
PAL0809,7/01/2009,50,0,0,3,8,15,15,6,3,0,0
PAL0809,19/01/2009,50,0,0,2,8,24,9,5,2,0,0
PAL0809,19/01/2009,3,0,0,1,1,1,0,0,0,0,0
PAL0809,19/01/2009,50,0,0,0,5,16,6,10,12,1,0
PAL0809,19/01/2009,52,0,0,1,17,11,5,6,8,4,0
PAL0809,19/01/2009,50,0,0,7,13,19,7,1,3,0,0
PAL0809,26/01/2009,12,0,0,1,1,2,5,2,1,0,0
PAL0809,26/01/2009,10,0,0,0,1,4,3,2,0,0,0
PAL0809,26/01/2009,6,0,0,2,3,0,1,0,0,0,0
PAL0809,26/01/2009,40,2,1,5,6,9,12,5,0,0,0
PAL0809,26/01/2009,24,0,0,0,2,6,10,6,0,0,0
PAL0809,2/02/2009,34,0,0,0,7,16,6,3,2,0,0
PAL0809,2/02/2009,40,0,0,0,2,7,10,15,5,1,0
PAL0809,2/02/2009,50,0,0,0,5,14,6,14,10,1,0
PAL0809,2/02/2009,41,0,0,0,1,5,8,18,9,0,0
PAL0809,2/02/2009,49,0,0,0,2,20,11,13,3,0,0
PAL0910,3/01/2010,22,0,0,0,1,4,6,11,0,0,0
PAL0910,3/01/2010,35,0,0,0,1,3,17,14,0,0,0
PAL0910,3/01/2010,26,0,0,0,0,5,11,9,1,0,0
PAL0910,12/01/2010,72,0,3,13,18,8,10,15,5,0,0
PAL0910,12/01/2010,40,0,0,0,0,1,18,17,4,0,0
PAL0910,12/01/2010,79,0,0,2,4,9,26,35,3,0,0
PAL0910,12/01/2010,41,0,0,1,0,4,14,16,6,0,0
PAL0910,12/01/2010,88,0,5,37,24,1,8,11,2,0,0
PAL0910,19/01/2010,88,0,0,1,3,1,19,51,13,0,0
PAL0910,19/01/2010,45,0,0,0,0,0,7,28,10,0,0
PAL0910,19/01/2010,47,0,0,0,1,3,15,23,5,0,0
PAL0910,19/01/2010,56,0,0,0,0,2,12,39,3,0,0
PAL0910,19/01/2010,53,0,0,0,0,1,14,25,12,1,0
PAL0910,26/01/2010,52,0,0,0,4,0,17,23,8,0,0
PAL0910,26/01/2010,29,0,0,1,2,0,8,14,4,0,0
PAL0910,26/01/2010,37,0,1,0,1,2,10,15,8,0,0
PAL0910,26/01/2010,29,0,0,6,5,4,3,9,2,0,0
PAL0910,26/01/2010,115,0,0,3,24,12,7,40,26,3,0
PAL0910,4/02/2010,14,0,1,3,4,1,1,3,1,0,0
PAL0910,4/02/2010,75,0,0,2,9,6,28,25,5,0,0
PAL0910,4/02/2010,99,0,1,4,16,10,11,39,18,0,0
PAL0910,4/02/2010,85,0,0,0,4,4,19,44,13,1,0
PAL0910,4/02/2010,35,0,0,3,11,2,0,14,5,0,0
PAL1011,1/01/2011,24,1,9,9,0,1,4,0,0,0,0
PAL1011,1/01/2011,1,0,0,0,0,0,0,0,0,1,0
PAL1011,1/01/2011,4,0,0,0,0,0,1,2,1,0,0
PAL1011,1/01/2011,7,0,0,0,0,0,3,1,3,0,0
PAL1011,1/01/2011,54,0,0,0,0,0,5,15,22,12,0
PAL1011,7/01/2011,1,0,0,0,0,0,0,0,1,0,0
PAL1011,7/01/2011,60,0,0,0,0,0,2,13,36,9,0
PAL1011,7/01/2011,4,0,0,0,0,0,1,1,2,0,0
PAL1011,7/01/2011,82,0,5,31,26,4,2,8,5,1,0
PAL1011,7/01/2011,65,2,12,17,5,0,10,9,9,1,0
PAL1011,15/01/2011,94,0,6,52,34,1,0,1,0,0,0
PAL1011,15/01/2011,104,0,5,21,65,4,3,1,4,1,0
PAL1011,15/01/2011,49,0,0,0,0,0,5,23,15,6,0
PAL1011,15/01/2011,55,0,4,13,11,4,6,13,4,0,0
PAL1011,15/01/2011,102,0,6,17,10,0,5,31,32,1,0
PAL1011,21/01/2011,46,0,0,17,19,4,2,2,2,0,0
PAL1011,21/01/2011,33,0,0,2,5,4,1,8,12,1,0
PAL1011,21/01/2011,95,0,2,35,44,6,2,3,2,1,0
PAL1011,21/01/2011,56,0,5,25,19,3,0,4,0,0,0
PAL1011,21/01/2011,53,0,0,3,10,3,4,14,15,4,0
PAL1011,27/01/2011,95,0,0,0,1,0,3,46,41,4,0
PAL1011,27/01/2011,10,0,1,0,0,0,0,4,5,0,0
PAL1011,27/01/2011,29,0,0,0,1,1,2,12,8,5,0
PAL1011,27/01/2011,84,0,0,9,42,7,1,17,7,1,0
PAL1011,27/01/2011,29,0,0,0,0,1,3,14,11,0,0
PAL1112,8/01/2012,46,0,0,0,5,29,12,0,0,0,0
PAL1112,8/01/2012,80,0,0,1,0,26,25,13,12,3,0
PAL1112,8/01/2012,22,0,0,0,0,3,16,1,2,0,0
PAL1112,8/01/2012,70,0,1,0,6,28,28,6,1,0,0
PAL1112,8/01/2012,52,0,0,0,1,6,29,14,1,1,0
PAL1112,19/01/2012,36,0,0,2,6,15,12,1,0,0,0
PAL1112,19/01/2012,68,0,0,0,5,24,32,7,0,0,0
PAL1112,19/01/2012,61,0,2,1,8,27,22,1,0,0,0
PAL1112,19/01/2012,55,1,2,0,8,18,20,5,1,0,0
PAL1112,19/01/2012,80,25,39,4,6,3,2,1,0,0,0
PAL1112,26/01/2012,77,0,0,0,3,28,38,8,0,0,0
PAL1112,26/01/2012,96,38,41,4,0,5,8,0,0,0,0
PAL1112,26/01/2012,105,2,1,7,22,42,27,4,0,0,0
PAL1112,26/01/2012,51,0,5,3,4,19,14,4,2,0,0
PAL1112,26/01/2012,44,1,2,3,1,22,14,1,0,0,0
PAL1213,3/01/2013,93,0,1,40,41,9,2,0,0,0,0
PAL1213,3/01/2013,75,0,1,26,43,3,2,0,0,0,0
PAL1213,3/01/2013,57,0,1,11,39,5,1,0,0,0,0
PAL1213,3/01/2013,69,0,2,21,41,4,1,0,0,0,0
PAL1213,3/01/2013,0,0,0,0,0,0,0,0,0,0,0
PAL1213,9/01/2013,101,0,2,39,50,8,0,2,0,0,0
PAL1213,9/01/2013,51,0,0,23,24,1,2,1,0,0,0
PAL1213,9/01/2013,72,1,1,24,35,10,1,0,0,0,0
PAL1213,9/01/2013,66,0,0,17,30,16,3,0,0,0,0
PAL1213,9/01/2013,113,0,0,25,52,31,5,0,0,0,0
PAL1213,16/01/2013,81,0,0,14,32,30,4,1,0,0,0
PAL1213,16/01/2013,109,0,1,37,62,7,1,1,0,0,0
PAL1213,16/01/2013,73,0,1,13,40,19,0,0,0,0,0
PAL1213,16/01/2013,54,0,0,13,37,4,0,0,0,0,0
PAL1213,16/01/2013,75,0,0,9,48,15,3,0,0,0,0
PAL1213,23/01/2013,106,0,0,10,72,15,7,2,0,0,0
PAL1213,23/01/2013,50,0,2,4,35,4,2,3,0,0,0
PAL1213,23/01/2013,108,0,0,35,57,13,3,0,0,0,0
PAL1213,23/01/2013,67,0,0,25,40,2,0,0,0,0,0
PAL1213,23/01/2013,110,0,1,34,56,17,1,1,0,0,0
PAL1213,28/01/2013,99,0,0,16,57,20,5,1,0,0,0
PAL1213,28/01/2013,85,0,0,11,54,18,1,1,0,0,0
PAL1213,28/01/2013,73,0,0,18,50,5,0,0,0,0,0
PAL1213,28/01/2013,73,0,0,18,38,13,4,0,0,0,0
PAL1213,28/01/2013,99,0,0,5,46,29,15,4,0,0,0
PAL1314,6/01/2014,0,0,0,0,0,0,0,0,0,0,0
PAL1314,6/01/2014,0,0,0,0,0,0,0,0,0,0,0
PAL1314,6/01/2014,0,0,0,0,0,0,0,0,0,0,0
PAL1314,6/01/2014,5,0,0,1,1,1,2,0,0,0,0
PAL1314,16/01/2014,51,0,1,0,1,8,22,18,1,0,0
PAL1314,16/01/2014,124,1,19,13,21,36,29,5,0,0,0
PAL1314,16/01/2014,37,0,0,2,2,14,10,9,0,0,0
PAL1314,16/01/2014,49,0,1,2,4,9,23,10,0,0,0
PAL1314,16/01/2014,48,0,0,0,4,13,22,8,1,0,0
PAL1314,22/01/2014,8,0,0,0,1,2,3,2,0,0,0
PAL1314,22/01/2014,65,0,0,0,3,6,26,23,7,0,0
PAL1314,22/01/2014,75,0,0,2,4,12,28,29,0,0,0
PAL1314,22/01/2014,79,0,10,10,9,6,30,14,0,0,0
PAL1314,22/01/2014,78,1,2,4,8,12,31,19,1,0,0
PAL1314,27/01/2014,97,0,1,2,1,6,34,49,4,0,0
PAL1314,27/01/2014,42,0,0,4,6,11,13,7,1,0,0
PAL1314,27/01/2014,66,0,3,30,16,11,4,2,0,0,0
PAL1314,27/01/2014,119,0,18,19,18,25,25,13,1,0,0
PAL1314,27/01/2014,57,0,0,0,3,7,29,18,0,0,0
PAL1314,1/02/2014,89,0,2,32,16,16,17,4,2,0,0
PAL1314,1/02/2014,114,0,0,11,8,20,36,36,2,1,0
PAL1314,1/02/2014,62,0,0,0,1,7,20,25,9,0,0
PAL1314,1/02/2014,61,0,1,24,11,8,10,6,1,0,0
PAL1314,1/02/2014,112,0,2,42,27,4,16,20,1,0,0
PAL1415,3/01/2015,88,0,0,0,1,2,20,53,12,0,0
PAL1415,3/01/2015,36,2,2,1,1,14,11,2,2,1,0
PAL1415,3/01/2015,103,1,5,0,15,36,41,5,0,0,0
PAL1415,3/01/2015,100,0,1,0,3,17,28,44,6,1,0
PAL1415,3/01/2015,64,0,0,0,1,2,6,40,15,0,0
PAL1415,11/01/2015,12,0,0,1,1,2,5,3,0,0,0
PAL1415,11/01/2015,88,0,10,23,3,12,19,21,0,0,0
PAL1415,11/01/2015,27,0,0,0,0,7,7,12,1,0,0
PAL1415,11/01/2015,108,0,0,1,0,22,49,33,3,0,0
PAL1415,11/01/2015,46,0,0,0,0,4,12,25,5,0,0
PAL1415,18/01/2015,131,0,0,1,0,8,58,59,5,0,0
PAL1415,18/01/2015,94,0,1,4,0,15,40,30,4,0,0
PAL1415,18/01/2015,40,0,0,0,1,3,19,17,0,0,0
PAL1415,18/01/2015,58,0,0,2,2,5,21,23,5,0,0
PAL1415,18/01/2015,71,0,0,1,1,11,33,22,3,0,0
PAL1415,26/01/2015,36,0,0,0,0,2,16,16,2,0,0
PAL1415,26/01/2015,86,0,1,0,0,5,30,44,6,0,0
PAL1415,26/01/2015,36,0,0,0,0,1,11,23,1,0,0
PAL1415,26/01/2015,10,0,0,0,0,0,3,6,1,0,0
PAL1415,26/01/2015,34,0,0,0,4,1,10,18,1,0,0
PAL1415,3/02/2015,199,0,0,1,0,7,87,92,12,0,0
PAL1415,3/02/2015,26,0,0,1,0,0,8,14,3,0,0
PAL1415,3/02/2015,82,0,0,0,0,3,25,43,11,0,0
PAL1415,3/02/2015,40,0,0,0,0,2,9,21,8,0,0
PAL1415,3/02/2015,24,0,0,0,0,1,14,9,0,0,0
PAL1415,9/02/2015,134,0,0,3,1,4,58,60,8,0,0
PAL1516,6/01/2016,49,0,0,0,0,0,12,18,18,1,0
PAL1516,6/01/2016,33,0,0,0,0,0,2,13,15,3,0
PAL1516,6/01/2016,99,0,0,1,1,3,30,43,19,2,0
PAL1516,6/01/2016,34,0,0,0,0,0,4,13,15,2,0
PAL1516,6/01/2016,2,0,0,0,0,0,1,0,1,0,0
PAL1516,12/01/2016,35,0,0,0,0,1,13,16,5,0,0
PAL1516,12/01/2016,70,0,0,1,0,0,7,30,29,3,0
PAL1516,12/01/2016,63,0,0,0,2,0,8,29,24,0,0
PAL1516,12/01/2016,69,0,0,2,4,0,28,28,6,1,0
PAL1516,12/01/2016,75,0,2,2,1,1,12,32,18,7,0
PAL1516,18/01/2016,90,0,1,0,0,1,18,49,20,1,0
PAL1516,18/01/2016,74,0,0,0,0,2,25,34,12,1,0
PAL1516,18/01/2016,52,3,1,1,0,0,4,13,25,5,0
PAL1516,18/01/2016,116,1,8,12,5,4,37,35,12,2,0
PAL1516,18/01/2016,83,0,0,5,4,3,15,36,15,5,0
PAL1516,25/01/2016,90,0,12,19,13,5,11,23,5,2,0
PAL1516,25/01/2016,39,0,0,1,1,1,6,15,14,1,0
PAL1516,25/01/2016,39,0,0,1,0,3,10,16,9,0,0
PAL1516,25/01/2016,25,0,0,0,0,0,1,6,18,0,0
PAL1516,25/01/2016,52,0,0,0,0,0,1,10,31,10,0
PAL1617,5/01/2017,27,0,0,0,1,3,17,4,2,0,0
PAL1617,5/01/2017,53,0,0,0,0,3,12,23,15,0,0
PAL1617,5/01/2017,56,0,0,0,0,1,27,21,7,0,0
PAL1617,5/01/2017,83,4,17,29,13,8,10,2,0,0,0
PAL1617,5/01/2017,89,0,0,1,1,6,41,28,10,2,0
PAL1617,10/01/2017,82,0,0,0,0,2,10,44,23,3,0
PAL1617,10/01/2017,73,0,3,14,12,7,18,12,6,1,0
PAL1617,10/01/2017,59,0,0,0,0,2,17,28,12,0,0
PAL1617,10/01/2017,65,0,0,0,0,1,8,30,22,4,0
PAL1617,10/01/2017,92,1,0,10,10,5,28,30,7,1,0
PAL1617,15/01/2017,91,0,0,0,4,4,40,41,2,0,0
PAL1617,15/01/2017,55,0,0,0,0,2,10,20,23,0,0
PAL1617,15/01/2017,43,0,0,0,0,4,19,19,1,0,0
PAL1617,15/01/2017,25,0,0,0,0,0,1,11,13,0,0
PAL1617,15/01/2017,61,0,0,2,0,0,18,29,12,0,0
PAL1617,22/01/2017,52,0,0,0,0,0,4,23,20,5,0
PAL1617,22/01/2017,91,0,0,0,2,1,22,32,31,3,0
PAL1617,22/01/2017,57,0,0,2,3,4,16,19,9,4,0
PAL1617,22/01/2017,56,0,0,0,1,1,9,27,18,0,0
PAL1617,22/01/2017,18,0,0,0,0,0,5,4,8,1,0
PAL1718,3/01/2018,67,0,0,0,3,23,33,6,0,2,0
PAL1718,3/01/2018,52,0,0,1,6,22,19,3,1,0,0
PAL1718,3/01/2018,52,0,0,6,16,20,9,0,1,0,0
PAL1718,3/01/2018,61,3,1,7,8,29,13,0,0,0,0
PAL1718,3/01/2018,86,0,0,1,8,51,20,5,1,0,0
PAL1718,8/01/2018,69,0,3,9,4,27,14,9,3,0,0
PAL1718,8/01/2018,41,0,0,3,1,14,13,6,4,0,0
PAL1718,8/01/2018,63,0,1,0,3,31,26,2,0,0,0
PAL1718,8/01/2018,96,2,17,23,11,28,14,0,1,0,0
PAL1718,8/01/2018,82,1,25,17,4,16,16,2,1,0,0
PAL1718,15/01/2018,64,0,0,1,1,13,39,10,0,0,0
PAL1718,15/01/2018,62,0,1,2,2,20,32,3,2,0,0
PAL1718,15/01/2018,82,0,29,21,4,12,14,1,1,0,0
PAL1718,15/01/2018,97,0,12,14,6,32,26,7,0,0,0
PAL1718,15/01/2018,50,0,0,1,0,24,23,2,0,0,0
PAL1718,23/01/2018,120,0,5,14,10,38,44,5,4,0,0
PAL1718,23/01/2018,64,0,0,0,3,19,35,7,0,0,0
PAL1718,23/01/2018,56,0,1,4,8,19,22,0,2,0,0
PAL1718,23/01/2018,132,0,11,48,16,24,25,8,0,0,0
PAL1718,23/01/2018,81,0,1,5,11,22,36,6,0,0,0
PAL1718,29/01/2018,77,0,10,31,15,9,10,2,0,0,0
PAL1718,29/01/2018,42,0,0,5,6,11,13,6,1,0,0
PAL1718,29/01/2018,67,0,1,17,23,5,20,1,0,0,0
PAL1718,29/01/2018,96,0,6,20,19,24,25,2,0,0,0
PAL1718,29/01/2018,92,0,3,21,10,19,31,8,0,0,0
