time,island_name,colony_code,num_breeding_pairs,num_chicks
16/01/1995,TOR,23,131,268
16/01/1995,TOR,23.1,20,31
17/01/1995,CHR,1,156,267
17/01/1995,CHR,2,53,84
17/01/1995,CHR,3,97,168
17/01/1995,CHR,3.1,0,0
17/01/1995,CHR,4.1,16,19
17/01/1995,CHR,5,50,50
17/01/1995,CHR,6,106,160
17/01/1995,CHR,7,242,435
17/01/1995,CHR,7.1,26,33
17/01/1995,CHR,7.2,53,100
17/01/1995,CHR,8,141,234
17/01/1995,CHR,9.1,29,49
17/01/1995,CHR,10,13,13
17/01/1995,CHR,11,4,3
17/01/1995,COR,1,8,10
17/01/1995,COR,2,71,108
17/01/1995,COR,3,39,46
17/01/1995,COR,4,15,21
17/01/1995,COR,5,294,404
17/01/1995,COR,5.1,117,190
17/01/1995,COR,6,76,117
17/01/1995,LIT,1,8,12
17/01/1995,LIT,2,28,24
17/01/1995,LIT,3,0,0
17/01/1995,LIT,4,19,12
17/01/1995,LIT,5,71,77
17/01/1995,LIT,6,76,111
17/01/1995,LIT,7,58,73
17/01/1995,LIT,8,95,162
17/01/1995,LIT,9,32,29
18/01/1996,CHR,1,225,310
18/01/1996,CHR,2,50,90
18/01/1996,CHR,3,20,69
18/01/1996,CHR,3.1,40,92
18/01/1996,CHR,4.1,2,2
18/01/1996,CHR,5,7,58
18/01/1996,CHR,6,57,168
18/01/1996,CHR,7,142,470
18/01/1996,CHR,7.1,17,30
18/01/1996,CHR,7.2,28,99
18/01/1996,CHR,8,83,229
18/01/1996,CHR,9.1,20,55
18/01/1996,CHR,10,4,10
18/01/1996,CHR,11,4,4
18/01/1996,COR,1,5,8
18/01/1996,COR,2,36,113
18/01/1996,COR,3,28,54
18/01/1996,COR,4,11,25
18/01/1996,COR,5,143,399
18/01/1996,COR,5.1,68,187
18/01/1996,COR,6,44,102
18/01/1996,HUM,1.1,5,4
18/01/1996,HUM,1.2,6,26
18/01/1996,HUM,1.3,0,0
18/01/1996,HUM,2.1,15,169
18/01/1996,HUM,2.2,11,98
18/01/1996,HUM,3,60,415
18/01/1996,HUM,3.1,0,0
18/01/1996,HUM,4,56,205
18/01/1996,HUM,5,75,426
18/01/1996,TOR,1,68,141
18/01/1996,TOR,2,17,40
18/01/1996,TOR,3,21,11
18/01/1996,TOR,4,102,279
18/01/1996,TOR,5,35,108
18/01/1996,TOR,12,81,275
18/01/1996,TOR,13,101,288
18/01/1996,TOR,15,55,223
18/01/1996,TOR,17,2,17
18/01/1996,TOR,18,118,350
18/01/1996,TOR,19,150,713
18/01/1996,TOR,20,82,246
18/01/1996,TOR,21,34,146
18/01/1996,TOR,22,51,85
18/01/1996,TOR,23,122,233
18/01/1996,TOR,23.1,3,27
20/01/1996,LIT,1,6,14
20/01/1996,LIT,2,18,29
20/01/1996,LIT,3,0,0
20/01/1996,LIT,4,12,29
20/01/1996,LIT,5,26,102
20/01/1996,LIT,6,44,148
20/01/1996,LIT,7,27,71
20/01/1996,LIT,8,35,141
20/01/1996,LIT,9,25,31
25/01/1997,CHR,1,103,252
25/01/1997,CHR,2,34,70
25/01/1997,CHR,3,31,82
25/01/1997,CHR,3.1,33,54
25/01/1997,CHR,4.1,4,6
25/01/1997,CHR,5,25,52
25/01/1997,CHR,6,55,142
25/01/1997,CHR,7,114,404
25/01/1997,CHR,7.1,14,24
25/01/1997,CHR,7.2,39,67
25/01/1997,CHR,8,92,208
25/01/1997,CHR,9.1,22,49
25/01/1997,CHR,10,4,10
25/01/1997,CHR,11,4,2
