study_name,time,island_name,colony_code,num_breeding_pairs,num_chicks,census_time
,UTC,,,,,
PAL9293,1993-01-26T00:00:00Z,LIT,8.0,93,148,1400
PAL9293,1993-01-26T00:00:00Z,LIT,9.0,21,9,1400
PAL9293,1993-01-26T00:00:00Z,TOR,1.0,119,205,1500
PAL9293,1993-01-26T00:00:00Z,TOR,2.0,47,64,1500
PAL9293,1993-01-26T00:00:00Z,TOR,3.0,23,26,1500
PAL9293,1993-01-26T00:00:00Z,TOR,4.0,237,441,1500
PAL9293,1993-01-26T00:00:00Z,TOR,5.0,133,170,1500
PAL9293,1993-01-26T00:00:00Z,TOR,12.0,185,285,1500
PAL9293,1993-01-26T00:00:00Z,TOR,13.0,212,334,1500
PAL9293,1993-01-26T00:00:00Z,TOR,15.0,195,252,1500
PAL9293,1993-01-26T00:00:00Z,TOR,17.0,24,30,1500
PAL9293,1993-01-26T00:00:00Z,TOR,20.0,219,317,1500
PAL9293,1993-01-26T00:00:00Z,TOR,21.0,180,207,1500
PAL9293,1993-01-26T00:00:00Z,TOR,22.0,156,109,1500
PAL9293,1993-01-26T00:00:00Z,TOR,23.0,167,282,1500
PAL9293,1993-01-26T00:00:00Z,TOR,23.1,28,29,1500
PAL9394,1994-01-22T00:00:00Z,LIT,1.0,19,11,1500
PAL9394,1994-01-22T00:00:00Z,LIT,2.0,37,28,1500
PAL9394,1994-01-22T00:00:00Z,LIT,3.0,0,0,1500
PAL9394,1994-01-22T00:00:00Z,LIT,4.0,32,20,1500
PAL9394,1994-01-22T00:00:00Z,LIT,5.0,113,80,1500
PAL9394,1994-01-22T00:00:00Z,LIT,6.0,130,104,1500
PAL9394,1994-01-22T00:00:00Z,LIT,7.0,72,76,1500
PAL9394,1994-01-22T00:00:00Z,LIT,8.0,147,138,1500
PAL9394,1994-01-22T00:00:00Z,LIT,9.0,33,24,1500
PAL9394,1994-01-23T00:00:00Z,CHR,1.0,184,310,1200
PAL9394,1994-01-23T00:00:00Z,CHR,2.0,49,96,1200
PAL9394,1994-01-23T00:00:00Z,CHR,3.0,128,130,1200
PAL9394,1994-01-23T00:00:00Z,CHR,4.1,13,26,1200
PAL9394,1994-01-23T00:00:00Z,CHR,5.0,28,43,1200
PAL9394,1994-01-23T00:00:00Z,CHR,6.0,104,161,1200
PAL9394,1994-01-23T00:00:00Z,CHR,7.0,302,410,1200
PAL9394,1994-01-23T00:00:00Z,CHR,7.1,25,34,1200
PAL9394,1994-01-23T00:00:00Z,CHR,7.2,41,101,1200
PAL9394,1994-01-23T00:00:00Z,CHR,8.0,180,214,1200
PAL9394,1994-01-23T00:00:00Z,CHR,9.1,33,12,1200
PAL9394,1994-01-23T00:00:00Z,CHR,10.0,13,2,1200
PAL9394,1994-01-23T00:00:00Z,CHR,11.0,4,0,1200
PAL9394,1994-01-23T00:00:00Z,COR,1.0,10,10,1430
PAL9394,1994-01-23T00:00:00Z,COR,2.0,98,121,1430
PAL9394,1994-01-23T00:00:00Z,COR,3.0,44,55,1430
PAL9394,1994-01-23T00:00:00Z,COR,4.0,12,27,1430
PAL9394,1994-01-23T00:00:00Z,COR,5.0,357,365,1430
PAL9394,1994-01-23T00:00:00Z,COR,5.1,163,183,1430
PAL9394,1994-01-23T00:00:00Z,COR,6.0,101,86,1430
PAL9394,1994-01-23T00:00:00Z,HUM,1.1,20,26,1400
PAL9394,1994-01-23T00:00:00Z,HUM,1.2,30,48,1400
PAL9394,1994-01-23T00:00:00Z,HUM,1.3,7,7,1400
PAL9394,1994-01-23T00:00:00Z,HUM,2.1,85,201,1400
PAL9394,1994-01-23T00:00:00Z,HUM,2.2,57,109,1400
PAL9394,1994-01-23T00:00:00Z,HUM,3.0,201,364,1400
PAL9394,1994-01-23T00:00:00Z,HUM,3.1,65,82,1400
PAL9394,1994-01-23T00:00:00Z,HUM,4.0,233,138,1400
PAL9394,1994-01-23T00:00:00Z,HUM,5.0,151,350,1400
PAL9394,1994-01-23T00:00:00Z,TOR,1.0,132,111,1630
PAL9394,1994-01-23T00:00:00Z,TOR,2.0,46,65,1630
PAL9394,1994-01-23T00:00:00Z,TOR,3.0,28,25,1630
PAL9394,1994-01-23T00:00:00Z,TOR,4.0,290,330,1630
PAL9394,1994-01-23T00:00:00Z,TOR,5.0,118,157,1630
PAL9394,1994-01-23T00:00:00Z,TOR,12.0,0,285,1630
PAL9394,1994-01-23T00:00:00Z,TOR,12.0,187,285,1630
PAL9394,1994-01-23T00:00:00Z,TOR,13.0,0,328,1630
PAL9394,1994-01-23T00:00:00Z,TOR,13.0,213,328,1630
PAL9394,1994-01-23T00:00:00Z,TOR,15.0,160,204,1630
PAL9394,1994-01-23T00:00:00Z,TOR,17.0,16,32,1630
PAL9394,1994-01-23T00:00:00Z,TOR,18.0,0,419,1630
PAL9394,1994-01-23T00:00:00Z,TOR,19.0,0,677,1630
PAL9394,1994-01-23T00:00:00Z,TOR,20.0,195,264,1630
PAL9394,1994-01-23T00:00:00Z,TOR,21.0,82,190,1630
PAL9394,1994-01-23T00:00:00Z,TOR,22.0,67,135,1630
PAL9394,1994-01-23T00:00:00Z,TOR,23.0,221,256,1630
PAL9394,1994-01-23T00:00:00Z,TOR,23.1,24,20,1630
PAL9495,1995-01-16T00:00:00Z,HUM,1.1,16,21,1100
PAL9495,1995-01-16T00:00:00Z,HUM,1.2,32,41,1100
PAL9495,1995-01-16T00:00:00Z,HUM,1.3,4,7,1100
PAL9495,1995-01-16T00:00:00Z,HUM,2.1,79,173,1100
PAL9495,1995-01-16T00:00:00Z,HUM,2.2,33,103,1100
PAL9495,1995-01-16T00:00:00Z,HUM,3.0,140,391,1100
PAL9495,1995-01-16T00:00:00Z,HUM,3.1,4,6,1100
PAL9495,1995-01-16T00:00:00Z,HUM,4.0,107,212,1100
PAL9495,1995-01-16T00:00:00Z,HUM,5.0,187,427,1100
PAL9495,1995-01-16T00:00:00Z,TOR,1.0,95,148,1430
PAL9495,1995-01-16T00:00:00Z,TOR,2.0,45,50,1430
PAL9495,1995-01-16T00:00:00Z,TOR,3.0,19,17,1430
PAL9495,1995-01-16T00:00:00Z,TOR,4.0,184,283,1430
PAL9495,1995-01-16T00:00:00Z,TOR,5.0,72,170,1430
PAL9495,1995-01-16T00:00:00Z,TOR,12.0,144,284,1430
PAL9495,1995-01-16T00:00:00Z,TOR,13.0,199,317,1430
PAL9495,1995-01-16T00:00:00Z,TOR,15.0,83,322,1430
PAL9495,1995-01-16T00:00:00Z,TOR,17.0,12,26,1430
PAL9495,1995-01-16T00:00:00Z,TOR,18.0,129,353,1430
PAL9495,1995-01-16T00:00:00Z,TOR,19.0,254,667,1430
PAL9495,1995-01-16T00:00:00Z,TOR,20.0,130,262,1430
PAL9495,1995-01-16T00:00:00Z,TOR,21.0,90,194,1430
PAL9495,1995-01-16T00:00:00Z,TOR,22.0,73,121,1430
